max_length,batch_size,threshold,f1_score
64,16,0.3,0.2911658303185903
64,16,0.4,0.2909539763710104
64,16,0.5,0.2910092069036976
64,16,0.6,0.29105322763306907
64,32,0.3,0.2911658303185903
64,32,0.4,0.2909539763710104
64,32,0.5,0.2910092069036976
64,32,0.6,0.29105322763306907
128,16,0.3,0.29215760067162666
128,16,0.4,0.2916265920550261
128,16,0.5,0.29147587178584006
128,16,0.6,0.2913613802883479
128,32,0.3,0.29215760067162666
128,32,0.4,0.29163509180996794
128,32,0.5,0.29147587178584006
128,32,0.6,0.2913613802883479
