max_length,batch_size,threshold,f1_score
64,16,0.3,0.22301219917649165
64,16,0.4,0.21411406130941915
64,16,0.5,0.20496894409937888
64,16,0.6,0.19514220469171684
64,32,0.3,0.22301219917649165
64,32,0.4,0.21411406130941915
64,32,0.5,0.20496894409937888
64,32,0.6,0.19514220469171684
128,16,0.3,0.22437813465727746
128,16,0.4,0.21573177098439586
128,16,0.5,0.21046495679604993
128,16,0.6,0.19936434556486565
128,32,0.3,0.22437813465727746
128,32,0.4,0.21573177098439586
128,32,0.5,0.21046495679604993
128,32,0.6,0.19936434556486565
